iter	Passed	Remaining
0	148	148513
1	150	74926
2	151	50442
3	153	38161
4	154	30794
5	156	25851
6	157	22316
7	158	19657
8	159	17603
9	161	15952
10	162	14612
11	163	13486
12	165	12554
13	166	11751
14	168	11050
15	169	10427
16	170	9880
17	172	9392
18	173	8955
19	174	8559
20	176	8207
21	177	7888
22	178	7596
23	180	7345
24	181	7097
25	183	6865
26	184	6652
27	185	6451
28	187	6265
29	188	6090
30	189	5930
31	191	5778
32	192	5636
33	193	5506
34	195	5383
35	196	5267
36	198	5157
37	199	5051
38	200	4951
39	202	4855
40	203	4765
41	205	4683
42	206	4600
43	208	4522
44	209	4451
45	211	4379
46	212	4310
47	213	4243
48	215	4182
49	216	4119
50	218	4060
51	219	4002
52	220	3948
53	222	3896
54	224	3849
55	225	3800
56	226	3752
57	228	3705
58	229	3660
59	230	3616
60	232	3573
61	233	3531
62	234	3490
63	235	3451
64	237	3413
65	238	3380
66	240	3348
67	242	3319
68	243	3289
69	245	3259
70	246	3229
71	248	3201
72	249	3174
73	251	3146
74	253	3123
75	254	3099
76	256	3073
77	257	3048
78	259	3024
79	260	2999
80	262	2975
81	263	2952
82	264	2922
83	266	2901
84	267	2882
85	269	2864
86	270	2843
87	272	2824
88	274	2806
89	275	2786
90	277	2767
91	278	2748
92	279	2730
93	281	2713
94	283	2698
95	285	2688
96	287	2674
97	288	2658
98	290	2641
99	291	2625
100	293	2609
101	294	2594
102	296	2579
103	297	2566
104	299	2553
105	301	2539
106	302	2525
107	304	2511
108	305	2496
109	306	2481
110	308	2467
111	309	2454
112	310	2440
113	312	2428
114	314	2417
115	315	2406
116	316	2391
117	318	2378
118	319	2366
119	320	2353
120	322	2341
121	323	2327
122	324	2316
123	326	2304
124	328	2296
125	329	2286
126	330	2273
127	332	2263
128	333	2252
129	335	2242
130	336	2231
131	337	2220
132	338	2209
133	340	2198
134	341	2189
135	343	2181
136	344	2171
137	346	2161
138	347	2151
139	348	2141
140	350	2132
141	350	2120
142	352	2111
143	353	2102
144	355	2093
145	356	2085
146	358	2080
147	360	2073
148	361	2065
149	363	2057
150	364	2050
151	366	2042
152	367	2035
153	369	2028
154	370	2021
155	372	2015
156	374	2009
157	376	2004
158	377	1998
159	379	1991
160	380	1981
161	381	1974
162	383	1969
163	425	2170
164	428	2166
165	430	2162
166	432	2158
167	434	2154
168	437	2151
169	440	2148
170	442	2144
171	444	2140
172	446	2136
173	449	2132
174	451	2128
175	453	2124
176	455	2118
177	457	2111
178	458	2103
179	460	2096
180	461	2089
181	465	2090
182	467	2087
183	469	2082
184	471	2076
185	473	2070
186	475	2066
187	477	2061
188	478	2054
189	480	2047
190	481	2041
191	483	2034
192	485	2028
193	486	2021
194	488	2015
195	489	2008
196	490	2001
197	492	1995
198	494	1989
199	496	1984
200	497	1979
201	499	1973
202	501	1967
203	502	1961
204	504	1955
205	506	1950
206	508	1947
207	509	1941
208	511	1935
209	512	1928
210	514	1922
211	515	1916
212	517	1910
213	518	1905
214	520	1899
215	522	1897
216	524	1893
217	526	1887
218	527	1881
219	529	1875
220	530	1870
221	532	1864
222	533	1858
223	534	1852
224	536	1847
225	538	1842
226	539	1837
227	541	1832
228	542	1826
229	544	1821
230	545	1816
231	547	1811
232	548	1805
233	549	1799
234	551	1795
235	553	1791
236	554	1786
237	556	1781
238	557	1776
239	559	1771
240	560	1765
241	562	1761
242	563	1756
243	565	1751
244	567	1748
245	569	1744
246	570	1739
247	571	1734
248	573	1731
249	575	1727
250	577	1723
251	579	1719
252	580	1715
253	582	1712
254	584	1707
255	585	1702
256	587	1698
257	588	1693
258	590	1689
259	592	1685
260	593	1681
